Survey,n,FWHM,pixscale,Re_intrinsic_arcsec,Re_over_FWHM,R50_obs,R50_intr,rP_obs,rP_intr,rP50_obs,rP50_intr,rP90_obs,rP90_intr
KiDS r,1,0.72,0.214,0.18,0.25,0.4060814368356784,0.17237239803711868,0.8239043026647808,,0.4060436853572785,0.171652712391077,0.7583871183592923,0.4027393083135477
KiDS r,1,0.72,0.214,0.21978995401216225,0.30526382501689203,0.4283633236990265,0.21056644932161186,0.8711184929628332,,0.4282823297591008,0.20951208932451876,0.8081888748374274,0.493450162040476
KiDS r,1,0.72,0.214,0.26837568824815783,0.37274401145577474,0.458163986168107,0.2597146459509641,0.9339313006991071,,0.45797873541665357,0.2583234055718179,0.8788799710189622,0.6042269972238716
KiDS r,1,0.72,0.214,0.32770155654469446,0.4551410507565201,0.4986409252383448,0.3181905359640372,1.019642208593404,,0.49829509110572007,0.31677119897074946,0.9752335843917723,0.7390762824992809
KiDS r,1,0.72,0.214,0.4001417224592911,0.555752392304571,0.5513012373174784,0.39071017701043464,1.1342622852284119,,0.5505952414336011,0.38877310583649605,1.1031375546404019,0.904107390701043
KiDS r,1,0.72,0.214,0.4885951709870832,0.6786044041487267,0.6187171337248668,0.47922396594387995,1.285576177732303,,0.6176560601128359,0.4766638597702197,1.2719849168992712,1.1052317724000267
KiDS r,1,0.72,0.214,0.5966017231211977,0.8286135043349969,0.7073915599382585,0.5878798340673176,1.4828229174127363,,0.7057932180038123,0.5849434760868721,1.4896747144559848,1.3506796436826691
KiDS r,1,0.72,0.214,0.7284836960465823,1.0117829111758088,0.8186181336552972,0.7182447927963317,1.7375209018580005,,0.8169839645820336,0.7151425122656375,1.7664911539993782,1.6508721183847095
KiDS r,1,0.72,0.214,0.8895188780704906,1.2354428862090148,0.964132533087634,0.8786494384417777,2.0581157479888286,,0.9614184851531123,0.8748315234406341,2.1138849977312226,2.018435495718795
KiDS r,1,0.72,0.214,1.0861517405781294,1.508544084136291,1.1457105313190596,1.074318546049454,2.459706720624583,,1.1422002107649847,1.0694329108868028,2.5446825313240793,2.465702327825268
KiDS r,1,0.72,0.214,1.3262513395105393,1.8420157493201934,1.3721635014778912,1.314881302469098,2.9601731602249566,,1.3674596655290718,1.3095615811980272,3.0777245101198063,3.0125084042357453
KiDS r,1,0.72,0.214,1.619426227331056,2.2492030935153555,1.654680610257784,1.607292023146105,3.5769116218244523,,1.6480958043353187,1.6003785689544576,3.7340771627833447,3.6812414028332636
KiDS r,1,0.72,0.214,1.977408977951013,2.7464013582652957,2.0042479658037884,1.9645166749302436,4.336688132780036,,1.9959355821052438,1.9561273743614815,4.540411822062712,4.496383714462354
KiDS r,1,0.72,0.214,2.4145257129282767,3.3535079346226064,2.432815926400611,2.400981147184355,5.26950189261114,,2.423138538474765,2.3899369124616077,5.528236293643635,5.492279772827918
KiDS r,1,0.72,0.214,2.9482694189204963,4.0948186373895785,2.9598938676845656,2.934659170154732,6.412536018615577,,2.948055855712532,2.9216896973660655,6.738050086239354,6.708850826596494
KiDS r,1,0.72,0.214,3.5999999999999996,5.0,3.606182754528254,3.584530356122626,7.812207262809039,,3.5906250022435207,3.56864964896418,8.218168612996873,8.19358449719841
KiDS r,2,0.72,0.214,0.18,0.25,0.42637538377825956,0.16776594878544288,0.8628803053896811,,0.4246571182017363,0.15743823098888346,0.8397675945745028,0.48390510856507724
KiDS r,2,0.72,0.214,0.21978995401216225,0.30526382501689203,0.45105618654775037,0.20650706960178927,0.9138010928303097,,0.44788923153285365,0.1942240633792166,0.9148508354788395,0.59413944115706
KiDS r,2,0.72,0.214,0.26837568824815783,0.37274401145577474,0.48378967363431874,0.2563387841765783,0.9793913637405508,,0.4785641852464088,0.24066457679273057,1.0149857407569016,0.7279882210717283
